President,Date,Proclamation Name,Link
Abraham Lincoln,"April 16, 1863",Proclamation 99 - Repudiation of an Agreement with Bernard Kock,http://www.presidency.ucsb.edu/ws/index.php?pid=69893
Abraham Lincoln,"April 20, 1863",Proclamation 100 - Admitting West Virginia Into the Union,http://www.presidency.ucsb.edu/ws/index.php?pid=69894
Abraham Lincoln,"May 8, 1863",Proclamation 101 - Enrollment of Aliens for Military Duty,http://www.presidency.ucsb.edu/ws/index.php?pid=69895
Abraham Lincoln,"June 15, 1863","Proclamation 102 - Call for 100,000 Militia to Serve for Six Months",http://www.presidency.ucsb.edu/ws/index.php?pid=69896
Abraham Lincoln,"July 15, 1863","Proclamation 103 - Day of Thanksgiving, Praise, and Prayer, August 6, 1863",http://www.presidency.ucsb.edu/ws/index.php?pid=69897
Abraham Lincoln,"September 15, 1863",Proclamation 104 - Suspending the Writ of Habeas Corpus Throughout the United States,http://www.presidency.ucsb.edu/ws/index.php?pid=69898
Abraham Lincoln,"September 24, 1863","Proclamation 105 - Raising the Blockade of Alexandria, Virginia",http://www.presidency.ucsb.edu/ws/index.php?pid=69899
Abraham Lincoln,"October 3, 1863","Proclamation 106 - Thanksgiving Day, 1863",http://www.presidency.ucsb.edu/ws/index.php?pid=69900
Abraham Lincoln,"October 17, 1863","Proclamation 107 - Call for 300,000 Volunteers",http://www.presidency.ucsb.edu/ws/index.php?pid=69902
Abraham Lincoln,"December 8, 1863",Proclamation 108 - Amnesty and Reconstruction,http://www.presidency.ucsb.edu/ws/index.php?pid=69987
Abraham Lincoln,"December 16, 1863",Proclamation 109 - Suspension of Discriminating Duties on Tonnage and Goods Entering the United States on Vessels of Nicaragua,http://www.presidency.ucsb.edu/ws/index.php?pid=69988
Abraham Lincoln,"February 18, 1864","Proclamation 110 - Raising the Blockade of Brownsville, Texas",http://www.presidency.ucsb.edu/ws/index.php?pid=69989
Abraham Lincoln,"March 26, 1864",Proclamation 111 - Concerning Amnesty,http://www.presidency.ucsb.edu/ws/index.php?pid=69991
Abraham Lincoln,"May 19, 1864","Proclamation 112 - Revocation of Exequatur of Charles Hunt, Consul for Belgium at St. Louis, Missouri",http://www.presidency.ucsb.edu/ws/index.php?pid=69992
Abraham Lincoln,"July 5, 1864",Proclamation 113 - Declaring Martial Law and a Further Suspension of the Writ of Habeas Corpus in Kentucky,http://www.presidency.ucsb.edu/ws/index.php?pid=69993
Abraham Lincoln,"July 7, 1864","Proclamation 114 - Appointing a Day of National Humiliation, Fasting, and Prayer",http://www.presidency.ucsb.edu/ws/index.php?pid=69994
